ID,Job Title,fname,sname,department,mobile,country,city
1,Loan Officer,Josh,Rigg,Marketing,7-785-316-2765,"Korea, North",New Orleans
2,Steward,Evelynn,Paterson,Management,6-234-413-6437,Maldives,San Diego
3,Chef Manager,Lucas,Yoman,Operations,1-114-748-4062,Tunisia,Tallahassee
4,Bellman,Hadley,Bailey,Accounting,5-354-886-8125,Antigua and Barbuda,New York
5,Auditor,Greta,Buckley,Accounting,7-773-843-1127,Estonia,Amarillo
6,Call Center Representative,Gladys,Milner,IT,0-123-562-3315,Vatican City,Omaha
7,Business Broker,Rylee,Anderson,Sales,0-582-365-8022,Qatar,Seattle
8,Webmaster,Isabella,Baldwin,Management,0-215-052-7754,Portugal,Pittsburgh
9,Associate Professor,Benny,Nobbs,Marketing,3-645-343-8382,India,Madison
10,Chef Manager,Matt,Reid,Marketing,1-005-441-1235,Norway,Madrid
11,Electrician,Percy,Martin,Human Resources,6-667-555-0627,Georgia,Irving
12,Webmaster,Barney,Whitehouse,Purchasing,5-812-411-7806,Dominica,Huntsville
13,Mobile Developer,Mayleen,Keys,Marketing,2-443-561-3054,Turkmenistan,Charlotte
14,Laboratory Technician,Barney,Nicholls,Purchasing,8-245-855-7370,Guyana,London
15,Assistant Buyer,Hank,Garner,Purchasing,5-818-834-5601,Cameroon,Rome
16,Retail Trainee,Michael,Todd,Research and Development,4-388-517-1152,Namibia,Huntsville
17,Auditor,Peter,Barrett,Finance,1-078-825-3170,"Congo, Republic of the",Otawa
18,Webmaster,Hadley,Abbot,IT,0-073-676-2766,Morocco,Bellevue
19,Bookkeeper,Tyler,Patel,IT,7-403-433-7236,Czech Republic,Fremont
20,Machine Operator,Elly,Carter,Management,5-320-614-7103,Jamaica,Baltimore
21,Accountant,Johnathan,Stanley,Sales,2-553-433-0415,Kuwait,Valetta
22,Business Broker,Rachael,Wellington,Human Resources,4-034-423-8442,Serbia,Ontario
23,Design Engineer,Jack,Booth,Research and Development,7-088-020-7772,Jamaica,Paris
24,Food Technologist,Mike,Wood,Human Resources,1-632-408-1531,Suriname,Tulsa
25,Loan Officer,Barry,Vaughn,IT,2-463-654-0523,San Marino,Lancaster
26,Assistant Buyer,Cecilia,Adler,Research and Development,4-300-738-7425,Mongolia,Bakersfield
27,IT Support Staff,Ron,Reynolds,Research and Development,8-418-187-5808,Tonga,Albuquerque
28,Cashier,Jacob,Whatson,Purchasing,5-417-412-7641,Latvia,San Diego
29,Clerk,Kurt,Price,Operations,8-342-482-8323,Suriname,Bucharest
30,Business Broker,Kurt,Burge,Purchasing,8-337-043-5526,Liberia,Bridgeport
31,Baker,Emery,Chester,Management,7-157-807-8462,Sri Lanka,Stockton
32,Cash Manager,Ryan,Martin,Human Resources,6-880-575-5466,Macedonia,Lisbon
33,Loan Officer,Nicholas,Varley,Operations,1-024-856-1548,Serbia,San Antonio
34,Chef Manager,Mason,Ranks,Purchasing,2-230-233-1746,Lesotho,Reno
35,HR Coordinator,Alba,Leigh,Purchasing,6-731-882-5264,Nigeria,San Jose
36,Auditor,Julius,Gregory,Human Resources,3-858-201-0780,El Salvador,Washington
37,Web Developer,Olivia,Faulkner,Purchasing,8-220-385-7837,Kenya,Dallas
38,Cash Manager,Juliette,Rivers,Research and Development,1-361-110-2584,"Korea, South",New Orleans
39,Lecturer,Ronald,Lynn,Research and Development,1-800-035-2112,Japan,San Diego
40,Health Educator,Gil,Pratt,Marketing,7-601-770-1538,Italy,Hayward
41,Stockbroker,Gwenyth,Gaynor,Purchasing,7-080-888-7406,Malawi,Salem
42,Design Engineer,Joseph,Adams,Management,5-218-740-6038,Kyrgyzstan,Worcester
43,Designer,Bob,Harris,Management,1-861-336-3131,Israel,Madison
44,Auditor,Wade,Oatway,Human Resources,1-058-275-0388,Comoros,Rome
45,Service Supervisor,Maxwell,Ingram,Operations,1-183-461-7157,Macedonia,Albuquerque
46,Systems Administrator,Sabrina,Ogilvy,Accounting,3-701-003-6851,Jamaica,London
47,Bellman,Winnie,Russell,Finance,7-534-111-7812,Azerbaijan,Madison
48,Systems Administrator,Aiden,Watt,Sales,3-004-650-8478,Libya,Minneapolis
49,Executive Director,Carter,Shields,Marketing,8-167-218-1534,Yemen,Portland
50,Auditor,Teagan,Townend,Finance,4-182-453-2058,The Bahamas,Tallahassee
51,Loan Officer,Erick,Coates,IT,7-080-211-4566,Malawi,Rochester
52,Designer,Rebecca,Upsdell,Accounting,7-453-524-0523,Dominica,Tulsa
53,Health Educator,Tyler,Malone,IT,8-106-678-5178,Samoa,Long Beach
54,Clerk,Bart,Lewis,Sales,2-263-067-7801,Vatican City,Lyon
55,Bellman,Brad,Rowlands,IT,6-165-634-5226,Ireland,Scottsdale
56,Stockbroker,Charlize,Harper,Sales,2-732-876-7211,United Arab Emirates,Murfreesboro
57,HR Coordinator,Liam,Faulkner,IT,1-472-773-0037,United Kingdom,Boston
58,Auditor,Mike,Hobbs,IT,3-638-642-3660,"Congo, Republic of the",Huntsville
59,Biologist,Julius,Collins,Purchasing,4-300-183-8408,Italy,Bakersfield
60,Call Center Representative,Peter,Steer,Accounting,6-384-710-3205,Saint Kitts and Nevis,Lancaster
61,Restaurant Manager,Lillian,Gavin,Accounting,5-278-814-2155,Liechtenstein,Seattle
62,Retail Trainee,Irene,Coates,IT,4-528-587-7684,Namibia,San Antonio
63,Software Engineer,William,Eagle,Human Resources,4-614-264-4072,Sudan,St. Louis
64,Loan Officer,Catherine,Rigg,Purchasing,4-830-122-0438,Malta,Zurich
65,Lecturer,Ron,Hepburn,Purchasing,1-277-350-5335,Turkey,Paris
66,Call Center Representative,Charlize,Murray,Research and Development,1-348-473-5466,Lebanon,Moreno Valley
67,Healthcare Specialist,Cristal,Richards,Finance,2-033-477-5422,Mauritius,Glendale
68,Accountant,Lara,Cattell,IT,0-644-288-2852,Lesotho,Santa Ana
69,Steward,Jacob,Quinnell,IT,4-655-284-0253,Liechtenstein,Arlington
70,Staffing Consultant,Alexia,Rowlands,Finance,3-014-041-5264,Italy,El Paso
71,Electrician,Denis,Kelly,IT,8-668-382-5851,Belarus,Fort Lauderdale
72,HR Coordinator,Ron,White,Research and Development,1-323-082-0737,Gabon,New Orleans
73,Insurance Broker,Aiden,Andrews,Management,8-018-817-0718,Israel,San Diego
74,Banker,Clint,Addley,Management,2-873-754-3830,Serbia,Memphis
75,Design Engineer,Daniel,Weston,Human Resources,8-223-327-2428,Mauritania,Richmond
76,Investment  Advisor,Michelle,Cooper,IT,8-046-486-7554,Jordan,Sacramento
77,Design Engineer,Priscilla,Oldfield,Purchasing,0-750-032-5462,Belarus,Honolulu
78,Business Broker,Mina,Savage,Human Resources,4-425-476-2673,Senegal,Venice
79,Dentist,Peyton,Bristow,Finance,5-861-002-4067,Vatican City,Jersey City
